"date","hub_id","product_id","quantity_issued"
2023 May,"hub_14","product_5",31198
2023 Jun,"hub_14","product_5",8862
2017 Jul,"hub_16","product_2",1e-06
2017 Aug,"hub_16","product_2",216
2017 Sep,"hub_16","product_2",701
2017 Oct,"hub_16","product_2",2050
2017 Nov,"hub_16","product_2",1400
2017 Dec,"hub_16","product_2",850
2018 Jan,"hub_16","product_2",350
2018 Feb,"hub_16","product_2",180
2018 Mar,"hub_16","product_2",120
2018 Apr,"hub_16","product_2",50
2018 May,"hub_16","product_2",1e-06
2018 Jun,"hub_16","product_2",2250
2018 Jul,"hub_16","product_2",1e-06
2018 Aug,"hub_16","product_2",310
2018 Sep,"hub_16","product_2",1900
2018 Oct,"hub_16","product_2",1250
2018 Nov,"hub_16","product_2",1100
2018 Dec,"hub_16","product_2",1650
2019 Jan,"hub_16","product_2",1120
2019 Feb,"hub_16","product_2",850
2019 Mar,"hub_16","product_2",700
2019 Apr,"hub_16","product_2",1200
2019 May,"hub_16","product_2",1700
2019 Jun,"hub_16","product_2",3000
2019 Jul,"hub_16","product_2",1e-06
2019 Aug,"hub_16","product_2",1600
2019 Sep,"hub_16","product_2",1e-06
2019 Oct,"hub_16","product_2",2310
2019 Nov,"hub_16","product_2",1100
2019 Dec,"hub_16","product_2",3240
2020 Jan,"hub_16","product_2",10500
2020 Feb,"hub_16","product_2",1552
2020 Mar,"hub_16","product_2",1600
2020 Apr,"hub_16","product_2",2202
2020 May,"hub_16","product_2",1300
2020 Jun,"hub_16","product_2",2600
2020 Jul,"hub_16","product_2",100
2020 Aug,"hub_16","product_2",4000
2020 Sep,"hub_16","product_2",300
2020 Oct,"hub_16","product_2",1704
2020 Nov,"hub_16","product_2",399
2020 Dec,"hub_16","product_2",1453
2021 Jan,"hub_16","product_2",908
2021 Feb,"hub_16","product_2",1377
2021 Mar,"hub_16","product_2",1000
2021 Apr,"hub_16","product_2",1900
2021 May,"hub_16","product_2",1200
2021 Jun,"hub_16","product_2",2900
2021 Jul,"hub_16","product_2",1e-06
2021 Aug,"hub_16","product_2",2000
2021 Sep,"hub_16","product_2",1611
